method,n_records,n_segments,PCC,nrmse,morph,R_amp,ST60_ant,T_amp
GL,6849,46167,0.839586516438389,0.5645277881746611,2.0285268688698284,0.42357977497525123,0.10178630140512496,0.17612522395299612
PCM,6849,46167,0.9124933627258507,0.38300221615027885,1.4368209864031034,0.19223520340396774,0.07790228871769936,0.13966886874664294
CNN,6849,46167,0.899454062195651,0.4488845763427621,1.7181346867003287,0.3398603900977176,0.08630227603344141,0.1545754608804616
Transformer,6849,46167,0.8944929632290314,0.4565224681853524,1.7233703909145794,0.3446076857054047,0.08699493607365838,0.15264400334177544
TCAE,6849,46167,0.9026589646429724,0.4424448428704972,1.6367316878725202,0.3183926501915913,0.08464009446468716,0.141581427910218
CaLiNet-E,6849,46167,0.9406235127747784,0.29530402816638723,1.1305428520825602,0.15346519685486648,0.06311649266334463,0.10377381857827558
