Method,F1_macro,1dAVb,RBBB,LBBB,SB,AF,ST
Original 12-lead,0.9040467329941014,0.8571428571428571,0.9444444444444444,1.0,0.8571428571428571,0.8181818181818182,0.9473684210526315
GL,0.9061181689856826,0.8620689655172413,0.868421052631579,0.9655172413793104,0.8333333333333334,0.96,0.9473684210526315
Transformer,0.7834511085414063,0.6190476190476191,0.8955223880597015,0.9830508474576272,0.64,0.631578947368421,0.9315068493150684
1D U-Net,0.6877375981097426,0.25,0.8571428571428571,0.9830508474576272,0.5,0.6666666666666666,0.8695652173913043
1D U-Net w/ anchor,0.9006459495933181,0.8846153846153846,0.8918918918918919,0.9666666666666667,0.8333333333333334,0.88,0.9473684210526315
PCM,0.9044085024236675,0.8571428571428571,0.8888888888888888,0.9830508474576272,0.8333333333333334,0.9166666666666666,0.9473684210526315
CaLiNet-E,0.9088794018945671,0.8928571428571429,0.88,0.9830508474576272,0.8333333333333334,0.9166666666666666,0.9473684210526315
