Method,F1_macro,CI_lo,CI_hi
Original 12-lead,0.73467990582858,0.7153019719487822,0.7550636153123531
GL,0.6913246525865377,0.6681413936533105,0.7128293458293233
Transformer,0.5568935247519947,0.5314944922143591,0.5792795465632309
1D U-Net,0.4520781867955274,0.42757387434377503,0.4738370276504289
1D U-Net w/ anchor,0.7102913970956382,0.6890327758034048,0.7300380551849657
PCM,0.7210475462808653,0.7012153532136519,0.7399620274246084
CaLiNet-E,0.7288172417020864,0.7074791281113837,0.7481568259139709
