Method,F1_macro,CI_lo,CI_hi
Original 12-lead,0.9040467329941014,0.8543398626213734,0.9403475565318261
GL,0.9061181689856826,0.862984532980964,0.9391292322015465
Transformer,0.7834511085414063,0.7007399030437387,0.8415222620068392
1D U-Net,0.6877375981097426,0.6090180681208224,0.7512533608295989
1D U-Net w/ anchor,0.9006459495933181,0.8517937240338893,0.9375787763319868
PCM,0.9044085024236675,0.8618218282927658,0.9388409706148516
CaLiNet-E,0.9088794018945671,0.8648285982682858,0.9439535734020615
