epoch,train_loss,pcc_recon,nrmse_recon,morph_err_norm,r_amp_err_mv,st60_anterior_mv,t_amp_err_mv,val_score,lr
1,0.2833098352694994,0.8980969244488816,0.46764224816850924,1.5333434804744266,0.28551018798313693,0.08603284423615476,0.11625145503892265,0.46770533889437793,0.0009990232305719944
2,0.23047698468572514,0.9069495544663494,0.44121768741272555,1.5016878235625213,0.27697656195901266,0.08365334309231695,0.11645334920410169,0.48101150862090847,0.0009960967771506664
3,0.2345393880215638,0.9061277559794148,0.44392232603932424,1.50775189023623,0.27948907330341705,0.08298093224330934,0.11953604834991584,0.47945364857526857,0.0009912321891107007
4,0.2351844056701178,0.9057544939530535,0.44474285636577504,1.4993234423862838,0.2773162418062192,0.08340312432521237,0.11639278719838231,0.47964793832018865,0.0009844486647586721
5,0.23000102731234887,0.9073516472703101,0.4482622564055601,1.5057171133610305,0.2829245766394114,0.08271769923478399,0.1186846633121337,0.47853335893464855,0.0009757729755661009
6,0.2305308640934527,0.909838589103709,0.4321346107326523,1.4534229096660352,0.27307720179541395,0.08107847683964758,0.11086828184224358,0.488320031257558,0.0009652393605146842
7,0.23215994759298422,0.9099446639650686,0.43775837238361703,1.4765435296480347,0.2762983348220587,0.08088277066607079,0.11742524644958044,0.48481074956438774,0.0009528893909706795
8,0.22324842698050334,0.9114801633319776,0.43091760203763535,1.467979871728372,0.27082792988192256,0.0803960961363398,0.11795729414491547,0.4881890475482101,0.0009387718066217122
9,0.2118168340256328,0.9088917487649485,0.43693350316570917,1.4865908341152616,0.2724333055697621,0.0817861360926053,0.11888885028583399,0.48406944250344097,0.0009229423231234972
10,0.20177393977749436,0.9122972481440799,0.43055422773730606,1.4319523205441658,0.2683372707388133,0.07966635749224625,0.11008544246486704,0.49115319807944763,0.0009054634122155987
11,0.21958372763851108,0.9105971411136766,0.4380964079745618,1.4649284308050712,0.279432570308857,0.08039221531752104,0.1144721121963011,0.48571349246982665,0.0008864040551740153
12,0.2032479168710244,0.9128359957430486,0.430905913098781,1.4722130465371797,0.2741605867751353,0.08083092825489392,0.11692295316393155,0.48830063045866556,0.0008658394705735984
13,0.21640883620335338,0.913196320790137,0.42768384480114696,1.445530265078037,0.2708594051399055,0.07969235199697983,0.11332420199049996,0.49141777875434467,0.0008438508174347006
14,0.1982644896077759,0.9115163183101699,0.42789919470202903,1.4483799781443107,0.2707796945680924,0.0802653602703577,0.11248400426179239,0.49063393234711505,0.000820524874925601
15,0.21312029461157234,0.9146216197935092,0.4215787111042944,1.4298652018407583,0.2696427393854177,0.0795796472692452,0.10932779692886653,0.49510118920718216,0.000795953699884774
16,0.19564930038691006,0.9137212514358544,0.42672826756280957,1.438521067391859,0.27225317911526886,0.08027680091914473,0.1090499637255428,0.4924127703413848,0.000770234263514603
17,0.2087078604107613,0.9146832678427785,0.4248697913425429,1.441077506567269,0.26702220191700604,0.07988769823616934,0.11255349668657083,0.4931572698836684,0.0007434680686803488
18,0.19685964798554778,0.9149905936301874,0.42628136285599244,1.4336909531293842,0.2687855616938152,0.07878742831451561,0.11310933248712382,0.493300120046518,0.0007157607493247108
19,0.20924547505017152,0.915356256996089,0.4232338459438051,1.431777913790212,0.2686458919765513,0.07954420880505328,0.11030698012893832,0.4946049702250349,0.0006872216535789154
20,0.19506509380195947,0.9160692169244836,0.41550024714941763,1.407230697261363,0.26358915383910436,0.07877638288773596,0.10676331436346977,0.49935153969982277,0.0006579634122155987
21,0.19755941899219417,0.917536707701647,0.41876146411102394,1.425146482466928,0.2673680295445743,0.07941224860676795,0.10909679005640226,0.49730922996938376,0.0006281014941466028
22,0.18711743843467796,0.9170619786260082,0.4129776792853679,1.4005257097011667,0.2638118404267065,0.0781897841700686,0.10644480827213222,0.5010498518156665,0.0005977537507199335
23,0.18597881090553367,0.9172190357527797,0.42019351820568973,1.425979999854053,0.26652953868065404,0.07990479349434255,0.10812075786899195,0.4966502656768755,0.0005670399506143305
24,0.19955341261811554,0.9173132294103796,0.41526417060446136,1.391684965664501,0.2635840905612386,0.07723675547712354,0.10671999609960807,0.5009828075741529,0.0005360813071670099
25,0.19864593318882673,0.9179686304451441,0.41673237127441876,1.4020366490555114,0.2639478787045003,0.07819102223462707,0.10685356440142207,0.4998761743598793,0.0005049999999999998
26,0.1784347548313877,0.9180477982744458,0.41279790868453853,1.383443896292313,0.25966298354345313,0.07729921113857743,0.10523664040892565,0.5027092998740142,0.0004739186928329897
27,0.1707831549951259,0.9172202022375041,0.42012630278755364,1.4216482601850151,0.2652616304392422,0.07960117314093097,0.10811246950093896,0.49699395260533363,0.0004429600493856692
28,0.1775736179038444,0.9187928115090666,0.41344942572700405,1.3900091823524032,0.2610971510662364,0.07731560727281266,0.10672678756741209,0.5021987554721252,0.0004122462492800661
29,0.16606122300521853,0.9184440634581565,0.4142720377663549,1.3903846760418206,0.2638462874158328,0.0772371592737602,0.10625003876651577,0.5017730408708896,0.0003818985058533967
30,0.1753109563689898,0.9198347887129233,0.41557674904689945,1.4092044185505275,0.26251190574369776,0.07816789114480377,0.1095040804076376,0.500306243548947,0.00035203658778440103
31,0.1713041301460608,0.916907740001103,0.41632450152442874,1.3925788671113637,0.2634178666470555,0.07756510997616148,0.10605297021080799,0.5004179416267628,0.00032277834642108444
32,0.16171142842401476,0.9173691894447809,0.4114855369855648,1.3913315254273548,0.2648079003544883,0.07770193650818712,0.1048512779972986,0.5023715608431418,0.0002942392506752889
33,0.1778618796618984,0.9188770563215822,0.4110993787103817,1.3872206823658968,0.260193396953507,0.07735512541519443,0.1060428093781336,0.5032756427217068,0.00026653193131965077
34,0.17980056832654073,0.9183534067559286,0.4110081590029229,1.3802397756099654,0.2613006968474135,0.07689625126237067,0.1049929698416536,0.5036864850369681,0.00023976573648539642
35,0.16129536259755053,0.9198870169433142,0.4116890057156393,1.3926507311648852,0.26268764753749063,0.07732818113039718,0.10700438169702682,0.5029537976647708,0.00021404630011522574
