epoch,train_loss,pcc_recon,nrmse_recon,morph_err_norm,r_amp_err_mv,st60_anterior_mv,t_amp_err_mv,val_score,lr
1,0.15492509840302826,0.9586798133267976,0.2520414764010047,0.7781375750054147,0.10781772818305282,0.04595452966371449,0.06323236505556509,0.6477062088580033,0.00029971387562209936
2,0.09374277056742679,0.9604632343057641,0.24565878665256222,0.7531083019893895,0.10518413598931164,0.044417960539891665,0.06112336818034837,0.6550770652550911,0.0002988566316905993
3,0.15419742778655798,0.9606022696073482,0.2458848742079728,0.7609477812390482,0.10474543587150856,0.04510148426580858,0.061556250812836125,0.6539108702071927,0.00029743165135565986
4,0.10993513983318254,0.9624432956222214,0.24163196140413004,0.7397358850032356,0.10353614504560145,0.043484356905357194,0.06040685127121866,0.6597122095056556,0.0002954445583636515
5,0.11140696857781972,0.9622744269399429,0.2413859098254076,0.7482321628105945,0.10203448667173881,0.04398800184407673,0.06189529730942647,0.6586023162105576,0.0002929031948627973
6,0.16179293607060305,0.9633201994974571,0.23769301075328214,0.7278302075698067,0.10097721990778906,0.042938856489490716,0.05923932683013311,0.6638044385661166,0.00028981759045379647
7,0.0673490889432073,0.9631901439373175,0.23600099140841807,0.7322851874216941,0.1000962868687449,0.04365229384809168,0.058699788621609704,0.6640583649775297,0.00028619992260757286
8,0.0837049487813869,0.9638234824556524,0.23546219427428702,0.7258293950578856,0.10226916119866415,0.042841440032678445,0.0585437500597311,0.6654631171499277,0.0002820644686063602
9,0.06512007270323332,0.9631473503006853,0.2377008940916213,0.7352829412317946,0.10214134156148573,0.04367308632925648,0.05892322091332321,0.6626899453720007,0.0002774275491977922
10,0.12965519508853665,0.9644863951987102,0.23263520417982153,0.7103027370843086,0.09771250843651456,0.04204418033290945,0.05764452759560983,0.6694537008815203,0.0002723074641843674
11,0.08365306352703449,0.9643618921812007,0.23351814117942782,0.7242001395384904,0.09966349733433763,0.04299925869649037,0.058363216571774706,0.6669280492725232,0.0002667244202024894
12,0.07125594188555089,0.9644162047635619,0.23241499687324849,0.7133657488650829,0.09721647889327702,0.04250390334727687,0.05733307094971111,0.6691113504823776,0.00026070045097610465
13,0.19332008664359285,0.9649538389188239,0.23051140895904537,0.706222130637972,0.09737943974579898,0.04176211108703491,0.05736647400654716,0.6713642483999551,0.00025425933035965983
14,0.09340813369764124,0.9650468689500876,0.22942955655732866,0.7033815617724009,0.0960588313150006,0.041880008483192364,0.056556793687642985,0.6724082543931427,0.00024742647851355997
15,0.0636424769387197,0.9650971573042422,0.23003457281856995,0.7125618899587844,0.09909492470452202,0.04237027587700174,0.056929261945273486,0.6707532223426929,0.0002402288615824086
16,0.14129743497366742,0.9651191894389924,0.22965978080838054,0.7018462134092984,0.09728940550682194,0.04147109350621051,0.056953761852111394,0.6725256976205776,0.00023269488527195446
17,0.089416957432952,0.9651742779738959,0.23083482576026404,0.7046747142832801,0.0960711897432018,0.04162546909348014,0.05770465008158305,0.6714758348975358,0.00022485428274474867
18,0.16645599082660148,0.9659400235962223,0.22688051263931586,0.6984228733100535,0.09621955119436522,0.041450033328520486,0.056310896649145,0.6748267075260984,0.0002167379972769355
19,0.06807786206413499,0.9657737870474119,0.22732797280319952,0.7020250373813309,0.09587921824630931,0.04181195516053826,0.0564078802588917,0.6739990371675401,0.0002083780601392783
20,0.054827631930546725,0.966144734001247,0.2259072711905676,0.6952122133591894,0.09550666675257813,0.04136615026221021,0.05581321319535272,0.6759059319068538,0.00019980746418436736
21,0.08161232900216847,0.9663898798232224,0.22662668747924575,0.6959750720364574,0.09767110941829074,0.041249840315794484,0.05574166783806654,0.675463183041892,0.0001910600336389039
22,0.07550159029607825,0.9658646973867893,0.22619097809701494,0.7021762406363687,0.09620568726207514,0.041746193444937865,0.05655258567747446,0.6746423081396328,0.00018217029061493007
23,0.058326382368036056,0.9659975804815149,0.2257634654785655,0.699131309418136,0.09590123592546944,0.041741981812317024,0.05574307661084885,0.6753677585088643,0.00017317331886682413
24,0.060964782472343784,0.9663684706430178,0.22462176228874864,0.6974458474769836,0.09533954537473618,0.041683489464462625,0.05558142223728633,0.6763691854338252,0.00016410462533175042
25,0.08377695705412942,0.9665518708039029,0.22384265500957617,0.6920069183794703,0.09429686793954957,0.041295046286781344,0.05542787627163215,0.6776638511374378,0.00015499999999999997
26,0.16038751192664838,0.9663149912150912,0.22527488134745996,0.702621548283569,0.09792057331160155,0.041798929854535385,0.05601350292798405,0.6752277914704852,0.00014589537466824955
27,0.07692544836797477,0.9667664652180901,0.2243974168482847,0.6961653959767221,0.09686473068319808,0.04125557113769934,0.056023486174959176,0.6768030791382128,0.00013682668113317587
28,0.13262294914559736,0.9664123327536589,0.22374515044266366,0.694600107159682,0.09468578436591346,0.04143856951727643,0.055658588286301276,0.6772953048942842,0.00012782970938506993
29,0.09736644404748564,0.966349179598371,0.22391077757193475,0.6970494182432385,0.09530025766692508,0.041585972672408454,0.05576683015566866,0.6768229831953074,0.00011893996636109605
30,0.09399119565975578,0.9667217623078926,0.22300726973977578,0.6934688048088349,0.09454906254519768,0.04132967686724909,0.05568689207734386,0.6779721095423651,0.00011019253581563267
31,0.0728700371349559,0.9669286012376496,0.22269786071196548,0.6886183936344689,0.09520780402791063,0.04100775407860056,0.05499991464616577,0.6789251270294061,0.00010162193986072174
32,0.09078157121685389,0.9664511490840186,0.22389548703062642,0.7031253113762749,0.0952341298042976,0.04227072839510901,0.05555516928626617,0.6759733622763466,9.326200272306447e-05
33,0.07360340113861158,0.967158812341808,0.22144994225759432,0.6872818903633342,0.09389464508639563,0.041017353367818726,0.0549641134796254,0.6799003409486138,8.514571725525126e-05
34,0.28855238152626794,0.9669878495378447,0.22184800021425552,0.690447129192584,0.09505847408948893,0.04115884568635161,0.05514005947187372,0.6791548774065322,7.730511472804544e-05
35,0.07112460365683279,0.9669960017767839,0.22245379253447292,0.6923318238770134,0.09503518958926338,0.04130910683792819,0.05526166977254041,0.6785355217808036,6.97711384175914e-05
36,0.19143492853789426,0.9673176208767823,0.22082376472721027,0.687258568845564,0.09390722046469535,0.04108031549055232,0.05476445804260364,0.6803076974910973,6.257352148643998e-05
37,0.09515371681396466,0.9671357290437884,0.22119442408465587,0.6884234327016207,0.09377505460395179,0.04111702485264219,0.05504343887137403,0.6798697862784951,5.574066964034013e-05
