epoch,train_loss,pcc_recon,nrmse_recon,morph_err_norm,r_amp_err_mv,st60_anterior_mv,t_amp_err_mv,val_score,lr
1,0.2634715389953378,0.9134563362235276,0.4410099376445927,1.4721480485727934,0.2750749218264817,0.08239477429193992,0.11193761514807377,0.48508734291646055,0.0009990232305719944
2,0.21309938699500086,0.9165532615307106,0.4208899799433522,1.4330755771056247,0.26867517334699564,0.08051003474072518,0.10779001690541318,0.4956858827823415,0.0009960967771506664
3,0.22101208174546413,0.9180648548923607,0.435107214064348,1.4853077798563452,0.273152290934637,0.08236931795008702,0.11653869282625137,0.4875258531260384,0.0009912321891107007
4,0.21442653466125622,0.9182724114908465,0.41526885234392696,1.4084120255470596,0.26448237747423897,0.07928009931737164,0.10533859646973123,0.5000059205033921,0.0009844486647586721
5,0.21016671238741017,0.9171592378856608,0.41604384904704034,1.4069870923866523,0.2652641504385654,0.07900075263486868,0.10551462467981998,0.49950444246414294,0.0009757729755661009
6,0.18880570926429593,0.9188719941998533,0.4243623148161843,1.4334570770534267,0.2672413827159331,0.08022856471553838,0.10917901415463298,0.4951451397825112,0.0009652393605146842
7,0.19064898958758397,0.9205186955948188,0.4282345108405341,1.4711610090068687,0.26923738696202293,0.08380509623702308,0.10916179790238448,0.4915937635328779,0.0009528893909706795
8,0.18825187191695852,0.9200840138318721,0.4125105996118811,1.422985436270207,0.26252044251064743,0.08082921684179199,0.10565184760249194,0.5004457943537928,0.0009387718066217122
9,0.20127469075241072,0.921732839802728,0.4059134414246667,1.3835152759451694,0.2619474753713953,0.07736905934214336,0.10436316214570211,0.5062841355396456,0.0009229423231234972
10,0.18318604157470605,0.9188136674371598,0.4182049676383073,1.4260037925711688,0.27393539036953085,0.0798471348293963,0.10607911617230248,0.497824769267589,0.0009054634122155987
11,0.18312970814569032,0.9227618376664268,0.4164223472578739,1.3861536645458652,0.26708171381358775,0.07662556871682098,0.10584487906922031,0.5026296498527097,0.0008864040551740153
12,0.17823629507192357,0.9227793102028498,0.40917382740792746,1.377570088905217,0.2596835967433135,0.0772751179031404,0.1035405939391498,0.5058781058949431,0.0008658394705735984
13,0.1789941505446811,0.9224208482992087,0.3998825928963877,1.3595034575216554,0.2574766230927524,0.07616882638518759,0.10210157117310809,0.5105554961059161,0.0008438508174347006
14,0.17165348206318037,0.9235005914632519,0.3992531002512531,1.3576781595305938,0.2554540268386877,0.0763900746127864,0.10149701596921258,0.5112544960828802,0.000820524874925601
15,0.18643326542395003,0.9222619406575191,0.40620075435842024,1.367524680425128,0.26168807404534467,0.07658609217791092,0.1019927053802023,0.5075744361025383,0.000795953699884774
16,0.16794955535956166,0.9227991253274108,0.40507398918024484,1.3520058456874546,0.25787222215461486,0.07555129809610528,0.10158619277153609,0.509361537664544,0.000770234263514603
17,0.17213732047992594,0.9235998098245739,0.39955992771067167,1.3606433924420707,0.2560348967088113,0.07624065533147936,0.10266058272553967,0.5109385481258847,0.0007434680686803488
18,0.17098980562706642,0.9248139536331621,0.4048704944842812,1.3757082623831176,0.25792177324973625,0.07683024167674893,0.10484522170976761,0.508187982506901,0.0007157607493247108
19,0.16636394512127428,0.9244178394576688,0.39557957430985213,1.3412888768584033,0.2544920652613488,0.07530664328748463,0.10011911361666243,0.5141872689362755,0.0006872216535789154
20,0.16713133002357447,0.9241356760386311,0.4018515740924882,1.3396191337082497,0.2594897584246318,0.0747011677617284,0.0999353092999001,0.5119220831404541,0.0006579634122155987
21,0.16427822149468257,0.9240491052409459,0.4009645060043175,1.3463751974965614,0.25772156797118756,0.07549792696495429,0.10010230796274926,0.5116828609816111,0.0006281014941466028
22,0.15705505075097523,0.9239989062801065,0.4045603959109432,1.3504564590054347,0.2566692473821838,0.07574359137776368,0.10090538935368419,0.5100306579888041,0.0005977537507199335
23,0.15489880333873718,0.9252755688217545,0.3925737234907491,1.3219467709849901,0.2514158973677528,0.07389737209668297,0.0994671457951222,0.517124133037733,0.0005670399506143305
24,0.17383602193063674,0.9249635778923838,0.4030471746015038,1.3562226777801945,0.2559081721660006,0.07594191882190073,0.10226859521855591,0.5104164139917856,0.0005360813071670099
25,0.1548102743416915,0.9243218992630714,0.40219755494532433,1.3531192776243648,0.2596755115625047,0.07550391420837355,0.10152138719343742,0.5107789691791588,0.0005049999999999998
26,0.15244390852475428,0.9257129674800426,0.3949551535723746,1.336790192903045,0.2528105556371049,0.07521192340987709,0.09955812095015079,0.5151679455713929,0.0004739186928329897
27,0.15189033239970312,0.9245085170508741,0.4006309772824446,1.3619280933820437,0.25547973788450173,0.0765616856355203,0.10224944974270163,0.5107167326373687,0.0004429600493856692
28,0.15380003542283222,0.9261413010513897,0.40383459539402966,1.3585160893163806,0.25959651326107014,0.07559134136295852,0.10290184872771758,0.5103022727023877,0.0004122462492800661
