Method,F1_macro,NORM,MI,STTC,CD,HYP
Original 12-lead,0.73467990582858,0.8918737407656145,0.7259528130671506,0.7707948243992606,0.7885375494071146,0.49624060150375937
GL,0.6913246525865377,0.8714938030006523,0.6911519198664441,0.7535070140280561,0.7917525773195876,0.3487179487179487
Transformer,0.5568935247519947,0.6323809523809524,0.6197604790419161,0.5783132530120482,0.6682986536107711,0.2857142857142857
1D U-Net,0.4520781867955274,0.10933333333333334,0.5651644336175395,0.5569948186528497,0.6746126340882003,0.35428571428571426
1D U-Net w/ anchor,0.7102913970956382,0.8728923476005188,0.7018867924528301,0.7511737089201878,0.7880041365046536,0.4375
PCM,0.7210475462808653,0.8761651131824234,0.7104377104377104,0.7549019607843137,0.7788844621513944,0.48484848484848486
CaLiNet-E,0.7288172417020864,0.8830138797091871,0.7148148148148148,0.7675276752767528,0.7943548387096774,0.484375
